"id","Item URI","Dublin Core:Title","Dublin Core:Creator","Dublin Core:Date","Dublin Core:Identifier","xml_link","collection"
"BUCA_Bastaire_Roman_Aventures_C95454","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73458","La dette de l'homme rouge","Bonneau , Albert  (1898-1967)",1938,"BUCA_Bastaire_Roman_Aventures_C95454","BUCA_Bastaire_Roman_Aventures_C95454.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95449","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73457","Au coeur du cyclone","Michel, André (18..-19..)",1938,"BUCA_Bastaire_Roman_Aventures_C95449","BUCA_Bastaire_Roman_Aventures_C95449.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95453","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73456","La marque de Kandäi","Olasso, Pierre (1895-1957)",1938,"BUCA_Bastaire_Roman_Aventures_C95453","BUCA_Bastaire_Roman_Aventures_C95453.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95452","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73455","Le centaure de Sierra-Blanca","Bonneau , Albert  (1898-1967)",1938,"BUCA_Bastaire_Roman_Aventures_C95452","BUCA_Bastaire_Roman_Aventures_C95452.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95450","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73454","Le désert inconnu","Tossel, Paul (1911-1980)",1938,"BUCA_Bastaire_Roman_Aventures_C95450","BUCA_Bastaire_Roman_Aventures_C95450.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95451","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73453","Les contrebandiers de la mort","Pérot , Maurice",1938,"BUCA_Bastaire_Roman_Aventures_C95451","BUCA_Bastaire_Roman_Aventures_C95451.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95426","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73452","Le traineau du diable","Dazergues, Max-André (1903-1963)",1937,"BUCA_Bastaire_Roman_Aventures_C95426","BUCA_Bastaire_Roman_Aventures_C95426.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95427","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73451","Au pays du silence","Escrignelles, Maurice d' (1914-2002)",1937,"BUCA_Bastaire_Roman_Aventures_C95427","BUCA_Bastaire_Roman_Aventures_C95427.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95431","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73450","La prêtresse du Zodiaque","Limat , Maurice (1914-2002)",1937,"BUCA_Bastaire_Roman_Aventures_C95431","BUCA_Bastaire_Roman_Aventures_C95431.xml","Le petit roman d'aventures"
"BUCA_Bastaire_Roman_Aventures_C95430","https://bibliotheque-virtuelle.bu.uca.fr/items/show/73449","L' homme au chien","Thaillard , René",1937,"BUCA_Bastaire_Roman_Aventures_C95430","BUCA_Bastaire_Roman_Aventures_C95430.xml","Le petit roman d'aventures"
